"blogid","children_aba_treatment","know_see_girl","see_research_spectrum","mercury_chelation_treatment","should_fact_point","post_blog_read","vaccine_vaccines_thimerosal","back_little_down","house_room_clean","services_act_bill","car_walk_place","levels_study_children","show_video_music","doctor_hospital_pain","time_know_get","children_canada_government","study_children_data","get_work_today","family_friends_mom","syndrome_down_baby","disabilities_care_disability","people_different_person","words_use_language","conference_blogher_san","birthday_party_happy","police_story_mother","brain_genetic_environmental","court_case_cases","school_students_education","kids_special_needs","kids_fun_play","use_ipad_site","love_thank_miles","day_home_night","back_bike_day","food_eat_eating","research_iacc_health","christmas_year_joy","book_read_books","hair_wear_dog","god_hope_love","get_time_know","speaks_community_awareness","life_love_world","science_david_article","child_children_parents","people_believe_person","wakefield_mmr_andrew","beauty_thomas_went","disorder_spectrum_persons"
1,0.00122414707749553,0.00407473039575508,0.00155394362574236,0.00137529828985072,0.0531651850313952,0.00688150611170596,0.00224667605514773,0.040710657168522,0.0335195693426737,0.00692031246349607,0.029761226298749,0.00200856453051184,0.0133596787103176,0.0149325428913144,0.164076757786068,0.00388169081972183,0.00425085586940309,0.00581304038484237,0.017857156489125,0.00294625624335356,0.00782919830503536,0.00540565819189055,0.00744259916826911,0.00239587516564081,0.0161791302537256,0.0139974803795173,0.00207446370455996,0.00128455486759809,0.00942044763182263,0.00175843842228095,0.00709232890852597,0.00757630089038951,0.00295306854322493,0.0273318260614931,0.0030275855694779,0.0215281061013771,0.00164525466009695,0.011253615521616,0.00915588246527409,0.0250490961482627,0.00824796159066143,0.0563352227775784,0.00406550956311066,0.0307460404691842,0.00301862187237828,0.0110374709637249,0.0191330152903769,0.00165535079129187,0.269183714103689,0.00161638603273446
2,0.00126992860107808,0.304430072222117,0.000372678119289237,0.000266062236483706,0.0502252395057997,0.0173623896791962,0.000363486766697419,0.134123708444965,0.0107811344873105,0.00682147031211637,0.0167553987795127,0.000238461878746015,0.00872859580975091,0.00434379064056574,0.12775294707518,0.000438968391499955,0.00135840908693178,0.00263383538720207,0.0127918676237471,0.00103966168040949,0.00339854723863187,0.0195142542233037,0.0115917820020744,0.00175893284791384,0.0176161256893518,0.00522864002801267,0.000655655049276265,0.000285455659622174,0.0137165330822775,0.00110056411510812,0.00898603759218349,0.0042955119977605,0.0018799297218959,0.0165273741875747,0.001527849555526,0.0090414384280562,0.00190890614803541,0.00491624414809498,0.00708802809907443,0.0132588730131408,0.00623750439125618,0.0388555970989492,0.0135256167248784,0.0586220728714418,0.0012075440199744,0.0157358412333986,0.0166116806543083,0.000312679325792614,0.000934436564730205,0.00156223755975675
3,0.00723179446250372,0.00307837876803934,0.00268838274575255,0.0337317460442388,0.0931699983515817,0.0131559388530455,0.150329588166495,0.0251246572550065,0.00651769849778206,0.0409642315443633,0.0115157057494565,0.0134308413059192,0.0128899138999975,0.0144073990568648,0.14067774346158,0.0039970969651616,0.0289924288567546,0.00567752571708565,0.0150454094454533,0.00546688500573418,0.00629479229973072,0.00537105980390813,0.00749761995831393,0.010641691567285,0.00629370990927529,0.0158425107239785,0.0257551460683996,0.019842073363062,0.00860362176397551,0.00198721800254236,0.00629043974937831,0.0112810700347261,0.00232464644810606,0.0165062074845768,0.0022375622318773,0.00754704102305474,0.0297142969994359,0.00296814221690055,0.00576130510105927,0.00458430850463308,0.0130325139696379,0.0272171620609867,0.0191292121305542,0.0200230408821834,0.0306903046712516,0.0264144816984152,0.0195291399633457,0.0121859890047782,0.00196580517848804,0.00437452303332426
4,0.0630630763824237,0.00403348295716931,0.00223860997315028,0.0288017222888264,0.214580503668359,0.0105316153385111,0.0232608289766381,0.00656657693128275,0.00340019510865465,0.00326303630417973,0.00775524971940935,0.0126513165244278,0.00391347238042516,0.00326734141687886,0.129461525149968,0.00746838124190965,0.0232472710971058,0.00186376640789947,0.00997794053081165,0.00537508931137139,0.00427670798681011,0.0585424164741127,0.0135086422550223,0.00190002454350965,0.000602902003807443,0.00964739573962492,0.0254702797082897,0.0197558586220394,0.00534696505348791,0.000201882348073449,0.00151616500951563,0.000559092817688108,0.000216648128319405,0.00324368813005749,0.00020112561704738,0.00219143223559576,0.01076645791583,0.0005864317618422,0.0112709668690353,0.00273108237200697,0.00863082399208349,0.0333640450941536,0.0173906626112352,0.0164328182256649,0.0406272047698702,0.0209576276634905,0.0703396448109317,0.0147517793293398,0.00311974953993782,0.0371284766621746
6,0.000926229619011036,0.00283614716373335,0.00103302040832004,0.000597397444492966,0.0839204038963239,0.0467308812332758,0.016290152495748,0.00812928245746616,0.00362783811240495,0.00159174533017602,0.0108356843709117,0.000582936802842661,0.00193140205591134,0.0344484876815072,0.27919769010254,0.000887924515848902,0.00186313162091022,0.0107975724412687,0.00578600165990726,0.000855000203365655,0.00194721051647526,0.101638368154232,0.0121971827135411,0.00119176228444299,0.0406006519214937,0.00119781887077466,0.0409478118212312,0.000470164885965053,0.0138518837675456,0.00132040549770201,0.00371749354800049,0.00181298331094308,0.00156895642720482,0.0097059165844499,0.00161303795867711,0.00657407249356402,0.00120276036060776,0.0011668578222309,0.00759442557974986,0.00305782685358793,0.00137189263865496,0.1124871076756,0.0180851150255124,0.0397342850007606,0.00122897474819107,0.010185786483578,0.047973582468522,0.000415037657758864,0.00103861790369619,0.00123307940933985
7,0.00280278778713533,0.00257491578488154,0.00123931147854651,0.00065549653189328,0.0383750547864256,0.00547843604337135,0.00107265620741878,0.0472318551370975,0.0191234643264473,0.00199069871429559,0.033370611257248,0.000470957286879694,0.00694935968403668,0.0085229464428402,0.0697602471276259,0.000749169971860103,0.00268767328285228,0.0018626150893265,0.0120586057650835,0.00134907958394099,0.00284529564680963,0.00696463961818771,0.0233196593740183,0.00268182637207346,0.00807567323804808,0.00254910672629339,0.00111635129933155,0.000406231769900297,0.0196057407544291,0.00174977411939868,0.00926731066807811,0.00544538215714508,0.00146062762784192,0.0197367692756885,0.524660750154705,0.0136681625174428,0.00151566847601155,0.00544219102133432,0.0116217747252846,0.00888519977358023,0.0026841559655616,0.0224407402168031,0.00288216527224038,0.0212822816798613,0.0015429686973475,0.0107431265001832,0.00459354641104518,0.000544287933426046,0.00120939406543303,0.00273325565329007
8,0.00556903617306771,0.00421663711432861,0.00432051224608602,0.0016061476403481,0.206284640189085,0.0236252629721308,0.00205212441920096,0.0342519532010974,0.00477714696110642,0.0112857265129569,0.0064159015694187,0.000713239698442034,0.00339123140960052,0.00456092941702152,0.172265210189107,0.00215301665677605,0.00807590603019221,0.00118359968068059,0.00705310498192354,0.003592300406955,0.0141413291275996,0.0647198045088303,0.0232487828826126,0.00101098301494089,0.00593100856617495,0.0129507767135322,0.00156586192032176,0.00377984594088784,0.031928284054939,0.000490224835071068,0.00351229100366192,0.00361304988829086,0.00162369698961086,0.00917675690114446,0.00116029579915691,0.00204803014773179,0.000959320289231893,0.00093109244058341,0.00766660929783405,0.00363148089033383,0.000521764488210822,0.0826198646748085,0.00736688231880212,0.0308300903729737,0.0049392983970174,0.0997858191136382,0.0472543517802624,0.00114142119898436,0.00510976225520312,0.0189475927180844
12,0.0414687972907598,0.00194390029103782,0.00330810101694758,0.00547825291659441,0.0989396080745029,0.00783208961780949,0.0251038292436378,0.0171641467010298,0.00413287938811881,0.0121276859623329,0.0220443942180174,0.00260909467750293,0.00893053487718163,0.00949467176824815,0.0857217923573817,0.182420424395343,0.0330987055343413,0.00161344518827639,0.0129827690080801,0.00183764204124658,0.00726534206653118,0.00722080343579712,0.00973148492818169,0.00438993102182899,0.00514421988133699,0.0307765998796842,0.0420574453193485,0.0051433890562513,0.0224509605625388,0.000896612015979532,0.00668715046544169,0.00556670469322525,0.00128534346003342,0.0138583219176728,0.00247372708640061,0.00278328594876336,0.0228905954889588,0.00310655253969798,0.00467824950522549,0.00443156829542753,0.00162985980195872,0.0217664446315053,0.0173266619089198,0.016920648396487,0.00943586645037043,0.0278195756553295,0.0153096472203345,0.00405768147980612,0.0024989540969098,0.102143608221663
13,0.0233745854062473,0.0011732984242982,0.0239609259140338,0.0178325052178497,0.163655766763124,0.0118412032492743,0.0281497252450449,0.0077229229509136,0.00264469256502449,0.0087947613172058,0.00384968733753348,0.0283143858599752,0.0024190178464316,0.00680653328627839,0.165033783026372,0.000815648776852666,0.131553382885644,0.00195903452646188,0.00379917318202321,0.00605987425176288,0.00225735532658695,0.02238028555993,0.0121547894332572,0.00171533197020433,0.00113496242707358,0.00564632021926895,0.0656925112745299,0.0125412445376563,0.00477568562705971,0.000574837870830086,0.00202341840762225,0.00444057349750593,0.000585070583685519,0.00758028364462715,0.000782408274940659,0.00415557697150732,0.0105876735364353,0.00282958972269991,0.00402062462458854,0.00329544991045775,0.000951530124839181,0.0402575108557034,0.0115728635650064,0.00978087922923409,0.0206768098216857,0.0278659572257952,0.0313049474770357,0.0195220879638125,0.000398114044903135,0.0287343982391665
14,0.0294943145021539,0.00101704148145603,0.00247058062292855,0.027007252141882,0.174965912754508,0.0142303519280255,0.0144195303803416,0.00530638817496538,0.00400350310969249,0.00317106665066107,0.00337328488376544,0.00491323062229895,0.00279306953478156,0.00552927827469248,0.132478026450665,0.000910995937467983,0.263148997582878,0.002281778023726,0.00540294132876435,0.00435757619934346,0.0128595841310089,0.0345264856983218,0.00411771983637887,0.00210450713870886,0.000885715336322539,0.00879214047986041,0.0189765261645406,0.0112162789347561,0.00543105181596196,0.00131023593538138,0.00110646930321739,0.00343575689575515,0.000521519042358405,0.00253790644291014,0.00106669468202996,0.00280300941916129,0.00171679702087392,0.000333596131532276,0.00579981526179667,0.00426695496177178,0.00172883100072611,0.0179728967309899,0.00727017512855468,0.00651886328532772,0.0463622429940061,0.0142879552182111,0.0318509416045635,0.00973721488657572,0.00145256169065439,0.0377344322427448
15,0.0030395732025083,0.00194976947200356,0.00103168373548817,0.00156760100922637,0.0313965497807837,0.013366417028211,0.00129828093379411,0.198691179412875,0.0151202282789958,0.00108084682754673,0.0215234662010094,0.00102612409766984,0.00773440009202394,0.0208600817251613,0.136008730646119,0.000470086000551154,0.00260738583185616,0.0027022147518955,0.0492244308123943,0.000475006228790397,0.00160811597111852,0.00265524632728698,0.0225008693989961,0.00256360370415394,0.0237997516928209,0.00208118147933788,0.00424514720420119,0.000201705615432316,0.0250243513079865,0.00127757067138322,0.0338970725228783,0.00163389673919564,0.00577119655300344,0.0532074485424573,0.00772734890566961,0.0254605454562341,0.0016305643070052,0.00781107900389381,0.00532550690871277,0.0122679583006557,0.0103788145166378,0.194038883471402,0.00095330296346969,0.0212498169853842,0.000791234602331404,0.00966466082232855,0.00468239954720743,0.000948230128533931,0.00231780571856973,0.00311063456280806
16,0.00171453631714106,0.00711682261538476,0.00156763441929091,0.000765539034144467,0.0740248544848043,0.0300346504660233,0.000525067498742857,0.0705183693534161,0.023681816554213,0.00226257108827492,0.00948475116281467,0.000332463996394648,0.00632872188704817,0.00726102459456736,0.0973684544676627,0.000946626711491516,0.00270752009903047,0.00458261515596689,0.0346658248601777,0.00272977446590632,0.00286959065260652,0.0168319821867707,0.0215600843765673,0.00569738413080278,0.01190085243394,0.00452511664372713,0.00106571185632314,0.00130651790101189,0.034476187233684,0.00646930585199278,0.011240698606128,0.00533801980183369,0.00456633702974489,0.0388734658513366,0.00503239683683643,0.0110042696503292,0.00074379828835639,0.00170106608401707,0.0100435052728341,0.0132023995140403,0.00719424797825466,0.224511270113447,0.00902445940757176,0.0630401565564614,0.00436077230204329,0.0716819342473132,0.0195557180060267,0.000342066130859464,0.00190326105528325,0.0113177847673598
19,0.00285899554137991,0.00736625602881201,0.00209488391030372,0.0016446145878613,0.101633542222333,0.0134422207562623,0.00322678442095171,0.0287740640496261,0.017257398080104,0.0166399208600931,0.0466452696419775,0.00141123756409049,0.0298979687248028,0.0050066891624932,0.181228680327933,0.00174464895479599,0.0041623893529172,0.00779487031534131,0.0176886083652694,0.00337372195469409,0.0252164988212846,0.0421582891227019,0.00801469345288435,0.00850273101153049,0.00951026473096443,0.0122939236423169,0.00379423277124036,0.00184453817226709,0.0318743376094103,0.00327826855338662,0.00798819066719463,0.00746371595197945,0.00429544101449917,0.0224412332181221,0.00515356972593684,0.03193224623979,0.00256796457683817,0.00822521030478278,0.0280094627949333,0.0192273987490812,0.0139003590963397,0.0474546550038614,0.0123672443892807,0.0501085656548611,0.00905718628386815,0.0140100642403869,0.0643196216505248,0.00125096037675047,0.00682820540380063,0.00301816194713901
21,0.000430249278168551,0.00381253191042815,0.000290791865324383,0.000291071391375939,0.0635746846849544,0.0203811584019125,0.000440090158420378,0.0805596850674443,0.00961595883094214,0.00167244186732897,0.0155611319542069,0.000250668409690161,0.00833846267574233,0.00898322787233849,0.0325629687813802,0.000234836687914565,0.0010199272137622,0.00463822867633357,0.0715646842323923,0.00109638443905585,0.00669506326781222,0.00610645217287307,0.00780173195730864,0.000849878718330423,0.00647337574245899,0.0050828786047897,0.000315130611274186,0.000149184530168871,0.0396727077511602,0.00161839736171661,0.00885841490515077,0.0039276900450789,0.00250700264351154,0.0774180222494224,0.00163688423314161,0.017934396936715,0.000791936959582486,0.0032058571539868,0.00538739751530699,0.00817991636070798,0.00988891788945914,0.372600761330145,0.00389467047386398,0.0533150209383705,0.000650511690544331,0.0167582334777022,0.0104693129641376,0.000105799620578489,0.000587675283181435,0.00179759221240417
22,0.00176509146352203,0.00436319513061438,0.000881876311437717,0.00110320680999824,0.073425369152247,0.0143303188726102,0.00190795798642109,0.0821890713487349,0.022484400951708,0.00276533898056744,0.0263588588311809,0.000861196393575648,0.0119906748137806,0.00747916947831401,0.294749375478143,0.00104124205211588,0.00299187868567531,0.00278127815220321,0.0193476458796999,0.0022943033899273,0.00281739642277034,0.0141213081621082,0.0556862729992539,0.00158017096104074,0.00897471961688195,0.00128876805734465,0.00112974918656424,0.000276009139380546,0.0148682978197998,0.00117320675457924,0.0177229598696126,0.00453619825073286,0.00167368158787857,0.0565195346336595,0.00902894537722188,0.0272120576592991,0.00193423696980197,0.00477237995050378,0.0120168701659477,0.0113220602081804,0.00272612355722797,0.0751640858448613,0.00403895797922347,0.0651139905641967,0.0013576662465138,0.0189186162792269,0.00598514961061513,0.000176866935588155,0.0020325875299816,0.000719681497526741
23,0.00094170114732508,0.00352694124080327,0.000497314424698964,0.000516511627114028,0.0921542491205214,0.00869581000456001,0.000618968442028144,0.0375161544191457,0.0105971540141592,0.00912252925555606,0.0160710002428809,0.00144508265778028,0.0104645177391383,0.0347763771259893,0.138532371103411,0.00869717523387293,0.00169515464601375,0.00090643429800275,0.0519748475768862,0.00373757807729931,0.260138533055822,0.0089726068000575,0.00679935919826697,0.00507597988605625,0.00377904568378022,0.00517105247597254,0.000919949567436982,0.00121354820396628,0.00517230146415163,0.00250912652092901,0.00621706886616576,0.00988985952337997,0.00181121422220979,0.0178245953853126,0.00150997836357042,0.0113716879751574,0.0038804263269761,0.00734574598602717,0.0160564114535092,0.00736851061386354,0.00382307005076519,0.054667187624993,0.00903551456717426,0.07756744602274,0.00184708508064209,0.021844577581095,0.0114783038564651,0.000439141136325567,0.0032090855185958,0.000573714591406586
25,0.00479797484605269,0.00235682272021541,0.000918862044612916,0.00181692110429109,0.132791201247389,0.0131884464602861,0.00177138988647175,0.0369695635939648,0.014932605573438,0.0101361537294647,0.010041303909026,0.000808000285381554,0.00841798305533593,0.022540527635595,0.189769063017715,0.000752252991965577,0.00546403379830757,0.00477602434141516,0.0161908651340415,0.000941276888875684,0.0303830238400876,0.064471696645864,0.025169761576234,0.00128949850006909,0.00419991693142136,0.00499210206188804,0.00272055338426456,0.000430246758154635,0.0339246643432611,0.000820633748732203,0.00678340223140699,0.00908153998465038,0.0022766064610151,0.045675997659956,0.000827665024886762,0.00571211387281133,0.00318172606592796,0.00495946151001426,0.0203742236363617,0.00751726181142821,0.00638034807928512,0.100692919371141,0.0182568892005846,0.0451739343989028,0.00304684591589231,0.0344533834227548,0.0326244070131059,0.000597902500148182,0.000537798151954766,0.00406220363395002
26,0.00560678209414216,0.00803158095904251,0.00045717783995833,0.000841172794320731,0.106644991612086,0.0184306620229571,0.000969325433862831,0.0529942670062038,0.0092653561335274,0.00611907984445846,0.0161165786532038,0.000505271709402149,0.0176980741482761,0.00570388358675158,0.152351363398643,0.0111423773484228,0.00304912603279231,0.00150623425670521,0.020071950061676,0.0027855007118006,0.0322262208884477,0.0851811759734933,0.0303686980942763,0.0127651810521346,0.00737073336088198,0.0100187736513933,0.00316961177724929,0.00112052908605581,0.0168151548332504,0.00166704569019102,0.00558844509909049,0.00685489232138727,0.00250935204013725,0.0237225031986425,0.00182769000578363,0.00524607901145235,0.0138804061938438,0.00487151031746905,0.0306188710251868,0.00575909326008433,0.00361247900879607,0.0828186549094637,0.0344484970607972,0.0713176186570871,0.00502793845212052,0.034319980740957,0.0200792669697392,0.000513460206854904,0.00207813551028538,0.00391124595521506
27,0.000301690952188769,0.0040518349131313,0.000303916066458001,0.000301926904705778,0.0343827513763102,0.058994110308076,0.000568310339694421,0.0954694816191921,0.0224161297010704,0.00113051336640252,0.016520735670447,0.000193978766686357,0.00660476019817823,0.00627353472599374,0.197048877484258,0.000383936887161527,0.0008336379415429,0.00314154683527812,0.0147002761774957,0.00332635172854137,0.00190394801023799,0.0029507688318523,0.0039070351786428,0.0058983338053299,0.0087619561931524,0.00102508063895374,0.000465403747393495,0.000165908292632944,0.00260280613725765,0.000986328902987673,0.00657565311486347,0.0144325578579244,0.208228935605727,0.0242457768810909,0.00141430382577463,0.0116175460079744,0.000488636826726902,0.00597656626774065,0.0079648156890988,0.0133582384207336,0.00654104529230283,0.114739919155438,0.00300940725580333,0.0699187823585553,0.000754799438346412,0.00617507900872405,0.00770638837933063,0.000115573945939543,0.000706238047595244,0.000413864919056187
29,0.00647739187584725,0.00295971710104757,0.000634883043112339,0.00110158254592778,0.0706206673591983,0.0125852571105729,0.00062834732846536,0.0840871341338591,0.0284440388652095,0.00285569542144668,0.0303241486994753,0.0015348074217254,0.0141180871762028,0.00908717945602385,0.2348466394557,0.000661627946429313,0.00288773868198403,0.00200845390124091,0.0465472150668678,0.00256325364838751,0.00174843751750835,0.00390311068266654,0.0513709819529134,0.000832549793778624,0.030527129221378,0.00157537924009531,0.00293180153918475,0.000522504626835975,0.0264789243505893,0.00732328828694095,0.0339279537566973,0.0099196429015992,0.00369794886953558,0.0716041603990192,0.00570345319897452,0.0171388918053937,0.000756116098848524,0.00520966246276667,0.00776508619131767,0.0119656701765519,0.0039258478369652,0.0988014092343151,0.00307602596069151,0.0221560798954697,0.00084999566227336,0.0122178149149362,0.00463307752692849,0.000244835760977307,0.00202567334733016,0.00219268054879375
30,0.00529409935242981,0.00496577492613954,0.00330357671263311,0.000280169355581397,0.0753579034892713,0.0156088735997966,0.00120134444195973,0.0371937787674393,0.00364936249773944,0.00158913611122789,0.0195703834225508,0.000273387557818774,0.016291785642025,0.00942543759932817,0.161442500340175,0.000864924429159885,0.00208190822509279,0.00221889399695676,0.0220158228416069,0.00284128940350646,0.0126940515568965,0.0761590067161497,0.0701868536174873,0.00333871178746686,0.00371925894182172,0.00418467037521154,0.00572414424638113,0.000516731872039262,0.0546947256850977,0.010510317426826,0.00921930045079606,0.00471818331810281,0.00225891088721496,0.0164254735985507,0.00527244480401579,0.0138077992539147,0.00126147870330333,0.00447631592565034,0.0147065192024945,0.0101099961466849,0.00830037337178333,0.123667937186881,0.00366972961569859,0.0908364944444683,0.00575494188562502,0.0220848036441937,0.0285895669166803,0.000194645682180655,0.00240685807753563,0.00503940194640917
32,0.00192033639798017,0.00636770092742313,0.00160823666280815,0.00153292662168589,0.0557944738310489,0.0115801785069113,0.00146849091970752,0.0825281293159933,0.0371983031183352,0.00824903749349321,0.0428633323840537,0.00092181004205442,0.0104534029108968,0.0110719380880362,0.177073001131395,0.00215666090848591,0.00482936458295234,0.0191014325158098,0.042098152444128,0.00386482431122069,0.00349523285125337,0.00764571081293666,0.0117983320168049,0.0141519507358802,0.0231214110341795,0.00288531828032903,0.00464410166402957,0.000905259423474651,0.0140945517672557,0.00672001625891763,0.0186589111361121,0.0117247199608593,0.0025114233405065,0.071988618370381,0.00393422688997621,0.0303746778493447,0.00242724690581119,0.00778665429614829,0.0162705758826543,0.0186059126509934,0.00757458932465098,0.102023442255542,0.00658621073660829,0.0433545382577191,0.00453832362555446,0.01952498555002,0.0112953184039427,0.00225670106573413,0.0036703842808764,0.0027489212570841
