doc_id,a_name,"good doc if 1, bad doc if 0"
9,A248ARSA6FS20S,1
9,A2H45V728GQPVQ,0
9,A2UF2FRGVW4T89,1
9,A2YKFDGF4WVI1O,1
9,A61GHYNS1DFT7,1
10,A1E2T84AUMW6ZC,1
10,A2R07W1GEVTICX,1
10,A2YKFDGF4WVI1O,1
10,A34L4JED8UAIXC,1
10,ABREDVJ6LQDOF,0
11,A19C4VNUIIRCPD,0
11,A207IHY6GERCFO,0
11,A2R07W1GEVTICX,1
11,A2UF2FRGVW4T89,0
11,ASSDGKLK7DWH4,1
12,A1E2T84AUMW6ZC,1
12,A1QUNP6IYOQMZ5,1
12,A2YKFDGF4WVI1O,1
12,A3N73CDZCKJ1BK,0
12,A8VBDRZPXTP8F,1
13,A12F04QMP1PYY9,1
13,A1GFD4B3NOMWIY,0
13,A2UF2FRGVW4T89,0
13,A34L4JED8UAIXC,1
13,A37I58C4258IPX,1
14,A207IHY6GERCFO,0
14,A24EAYGSHOXEGP,1
14,A2HXTXD0IMKUN0,1
14,A2QD7QFGCUNF5N,0
14,A39UWTSPMRRYWU,0
15,A24EAYGSHOXEGP,1
15,A27ZCDEK4SSJWR,1
15,A39UWTSPMRRYWU,1
15,A3KFXPAE40VKWY,1
15,A3UEAWMRV5YQ6V,0
19,A1DJDT4B5B19Q2,1
19,A207IHY6GERCFO,0
19,A3UEAWMRV5YQ6V,0
19,AUT9J39A2N4LH,1
19,AZBM5GUEV7N77,1
22,A1DJDT4B5B19Q2,1
22,A1UTBDKOQ2MKUD,1
22,A3TN3GQAO61BVB,1
22,A7FXMQPKWFFP5,1
22,ATT9WOOOB7W4A,1
23,A1DJDT4B5B19Q2,1
23,A1NMKXK04PZ6KK,0
23,A207IHY6GERCFO,1
23,A2D53MXGGGYMZD,1
23,AIUKV0KVALMY6,1
24,A17LJKQT05HECG,1
24,A1M03U3W99BGZ4,1
24,A27IABVBUZ9X8Z,1
24,A2EZNZ6X58RTNR,1
24,A2UF2FRGVW4T89,0
26,A17LJKQT05HECG,1
26,A1OF4LT1OZYTDN,1
26,A2BXVBVLIA1237,1
26,A382OV019QLW6H,0
26,ADUVMN6NQUS3M,0
28,A1HBD85BK13XD8,1
28,A1LB8HVSXK66U0,1
28,A1VZSFHTU51JP0,0
28,A24EAYGSHOXEGP,0
28,A387WXZGACGSO0,1
28,A3HB89ILXJBXJM,1
28,A3QPN0YIKOJ8V8,1
29,A18T7E73TNGOKP,0
29,A18TCR555RWUZV,1
29,A1DJDT4B5B19Q2,1
29,A1JFZ5EX06Y8YV,1
29,A2R07W1GEVTICX,1
29,A2UF2FRGVW4T89,0
39,A18T7E73TNGOKP,0
39,A1JFZ5EX06Y8YV,1
39,A207IHY6GERCFO,1
39,A23NHL1Q5LUYB4,1
39,A24EAYGSHOXEGP,0
39,A2R07W1GEVTICX,1
39,AFZA8O3WZDOLM,1
43,A17LJKQT05HECG,1
43,A1OF4LT1OZYTDN,1
43,A2RB4WF5CDMEL9,1
43,A2UF2FRGVW4T89,1
43,ACR7UDT1LFI12,1
48,A1YJKLVJW1FE33,1
48,A365D8DBYZQZGT,0
48,A3NOO4TEB9GR7Q,0
48,AFIRLWU2FFWPO,0
48,AZBM5GUEV7N77,1
52,A12RR7J511BT0K,0
52,A18T7E73TNGOKP,0
52,A1BYZJ3GUK1O5Z,1
52,A207IHY6GERCFO,0
52,A2R07W1GEVTICX,1
52,A31A4YKVSOYRVS,1
52,A39UWTSPMRRYWU,1
59,A18TCR555RWUZV,1
59,A274NFT93QPBGL,1
59,A2UF2FRGVW4T89,0
59,A3JIWNQV86CNOB,0
59,A3OF9HAEZVBQ3G,1
63,A207IHY6GERCFO,0
63,A2PXJTMWGUE5DC,0
63,A3UEAWMRV5YQ6V,1
63,AUT9J39A2N4LH,1
63,AZBM5GUEV7N77,1
65,A1DJDT4B5B19Q2,1
65,A1G02XK8ZL6F1E,0
65,A24EAYGSHOXEGP,0
65,A7FXMQPKWFFP5,1
65,AG4MMHVYMTXFD,1
66,A1SSBN3C7NEPEO,1
66,A1Z64L5Y143167,0
66,A207IHY6GERCFO,0
66,A2D53MXGGGYMZD,1
66,AJXGV70V3PDOC,1
68,A1JFZ5EX06Y8YV,1
68,A207IHY6GERCFO,0
68,A24EAYGSHOXEGP,0
68,A3HNWWJXMDLM8L,0
68,A3UEAWMRV5YQ6V,1
68,AZBM5GUEV7N77,1
69,A1G02XK8ZL6F1E,0
69,A24EAYGSHOXEGP,1
69,A2HXTXD0IMKUN0,1
69,A2QD7QFGCUNF5N,0
69,A3UEAWMRV5YQ6V,0
75,A16644NV37L66P,1
75,A1SB15LP2XJVVT,1
75,A1YJKLVJW1FE33,1
75,A3FKXJVH0K2E3E,1
75,AZBM5GUEV7N77,1
78,A1G02XK8ZL6F1E,0
78,A1OCJ5QNHY5RAW,1
78,A2JJCR0L7AR2YP,1
78,A2LQ33BQ8G259D,1
78,A2UF2FRGVW4T89,0
85,A1DJDT4B5B19Q2,1
85,A1OF4LT1OZYTDN,1
85,A24EAYGSHOXEGP,0
85,A3A2IFA1WCMOQT,0
85,A7FXMQPKWFFP5,1
96,A207IHY6GERCFO,0
96,A20CGE508BF5IE,0
96,A2D53MXGGGYMZD,0
96,A2D8467K5MUNYA,0
96,AFB9N61OMZXCX,1
104,A1BYZJ3GUK1O5Z,1
104,A207IHY6GERCFO,1
104,A20IF612YY351J,1
104,A24EAYGSHOXEGP,0
104,A2R07W1GEVTICX,1
104,A31A4YKVSOYRVS,1
104,A39UWTSPMRRYWU,0
110,A1SB15LP2XJVVT,0
110,A1YJKLVJW1FE33,1
110,A207IHY6GERCFO,0
110,A2VIJLBSZATX3W,1
110,AZBM5GUEV7N77,1
113,A1JFZ5EX06Y8YV,1
113,A207IHY6GERCFO,0
113,A3UEAWMRV5YQ6V,0
113,A3UHHP4M8SI6OO,1
113,AZBM5GUEV7N77,1
118,A1G02XK8ZL6F1E,0
118,A1JFZ5EX06Y8YV,1
118,A207IHY6GERCFO,1
118,A24EAYGSHOXEGP,1
118,A2R07W1GEVTICX,1
118,A3AFXPGOHL9D23,1
118,AZBM5GUEV7N77,1
119,A18T7E73TNGOKP,0
119,A24EAYGSHOXEGP,0
119,A2IVF94Z51VWEI,1
119,A2R07W1GEVTICX,1
119,A2UF2FRGVW4T89,0
119,AVVZTRF9H0XHH,1
130,A24EAYGSHOXEGP,0
130,A2HXTXD0IMKUN0,1
130,A2QD7QFGCUNF5N,0
130,A39UWTSPMRRYWU,0
130,A3UEAWMRV5YQ6V,0
140,A1DFHAAZXDD3A,0
140,A1DJDT4B5B19Q2,1
140,A1JFZ5EX06Y8YV,1
140,A24EAYGSHOXEGP,0
140,A2UF2FRGVW4T89,0
143,A17LJKQT05HECG,1
143,A1KN3TP3P2NJHC,1
143,A27IABVBUZ9X8Z,1
143,A365D8DBYZQZGT,0
143,AKG7VBOY97HKA,0
146,A1BYZJ3GUK1O5Z,1
146,A207IHY6GERCFO,0
146,A2R07W1GEVTICX,1
146,A2VIJLBSZATX3W,1
146,A31A4YKVSOYRVS,1
146,A39UWTSPMRRYWU,1
146,A3HNWWJXMDLM8L,0
147,A207IHY6GERCFO,0
147,A2BKTSNTGMDGT9,1
147,A35NBUVLJDU499,1
147,A3UEAWMRV5YQ6V,0
147,AUT9J39A2N4LH,1
148,A1BYZJ3GUK1O5Z,1
148,A207IHY6GERCFO,0
148,A24EAYGSHOXEGP,0
148,A2R07W1GEVTICX,1
148,A31A4YKVSOYRVS,1
148,A39UWTSPMRRYWU,1
148,AZPEPBUH22R8D,1
151,A24EAYGSHOXEGP,0
151,A2HXTXD0IMKUN0,1
151,A2QD7QFGCUNF5N,0
151,A39UWTSPMRRYWU,1
151,A3UEAWMRV5YQ6V,1
152,A27PBC5O3Z5ZED,1
152,A2D53MXGGGYMZD,1
152,A3HNWWJXMDLM8L,0
152,APC3O2O8O9XPO,0
152,AY7WOX4UCIBU2,1
155,A207IHY6GERCFO,0
155,A24EAYGSHOXEGP,0
155,A274NFT93QPBGL,1
155,A3UEAWMRV5YQ6V,1
155,AZBM5GUEV7N77,1
156,A1SB15LP2XJVVT,0
156,A1YJKLVJW1FE33,1
156,A207IHY6GERCFO,1
156,A3J9EHZQ9PERAX,1
156,AZBM5GUEV7N77,1
157,A18T7E73TNGOKP,0
157,A1DJDT4B5B19Q2,1
157,A2R07W1GEVTICX,1
157,A2TPJSBIQB82OZ,0
157,A2UF2FRGVW4T89,0
157,A38HFMRXB5Q13M,1
158,A19H6XXGBK1IVI,1
158,A1SB15LP2XJVVT,1
158,A207IHY6GERCFO,0
158,A3J9EHZQ9PERAX,1
158,AZBM5GUEV7N77,1
161,A18T7E73TNGOKP,0
161,A207IHY6GERCFO,1
161,A2R07W1GEVTICX,1
161,A315YOD1CJYCFJ,1
161,A3HNWWJXMDLM8L,1
161,ANJ9V1S2RYOE8,1
163,A1SNF5XJQ0205C,1
163,A207IHY6GERCFO,0
163,A28V5XY8A0R6Q5,1
163,A2D53MXGGGYMZD,0
163,A39UWTSPMRRYWU,1
166,A1JFZ5EX06Y8YV,1
166,A207IHY6GERCFO,1
166,A24EAYGSHOXEGP,0
166,A2HR7ZIX42FEPG,1
166,A2R07W1GEVTICX,1
166,A3LXJK3LTM4J2E,0
166,AZBM5GUEV7N77,1
174,A1JFZ5EX06Y8YV,1
174,A207IHY6GERCFO,1
174,A24EAYGSHOXEGP,1
174,A274NFT93QPBGL,1
174,A2R07W1GEVTICX,1
174,A3HNWWJXMDLM8L,0
174,AACD3MXKVW9VJ,1
175,A1DJDT4B5B19Q2,1
175,A1OF4LT1OZYTDN,1
175,A1UTBDKOQ2MKUD,1
175,A24EAYGSHOXEGP,0
175,A7FXMQPKWFFP5,1
,,178